,feature,importance_lgbm,importance_xgb,importance_ensemble
100,Td_23,0.11373840167614487,0.0010007928,0.05736959725599198
101,rain_probability_4,0.11343909009278659,0.0010746227,0.0572568564136182
102,last_day_avg_target,0.11313977850942832,0.0013156882,0.05722773337907603
103,target_lag_24_16,0.11313977850942832,0.008511196,0.06082548720001688
104,U_9,0.11313977850942832,0.00015079153,0.056645285019438975
105,temp_pred_11,0.11284046692607004,0.0024011158,0.057620791382254156
106,target_lag_72_12,0.11224184375935349,0.00031928133,0.05628056254519207
107,target_lag_72_21,0.11194253217599522,0.0038071035,0.05787481783508872
108,target_lag_24_21,0.11194253217599522,0.00092656194,0.05643454706032378
109,Td_13,0.11164322059263694,0.00036283204,0.05600302631681429
110,target_lag_72_8,0.11134390900927867,0.0007145089,0.056029208942043086
111,target_lag_24_10,0.11104459742592038,0.00052268914,0.055783643281531264
112,target_lag_336_6,0.1107452858425621,0.000785825,0.055765555429968056
113,U_21,0.11044597425920383,0.00018676471,0.055316369483554534
114,target_lag_72_6,0.10984735109248728,0.0022670822,0.05605721665714666
115,U_19,0.10984735109248728,0.00035934546,0.05510334827639893
116,target_lag_72_19,0.1083507931756959,0.0041325674,0.0562416803074621
117,target_lag_72_15,0.1083507931756959,0.0005703209,0.054460557024608586
118,target_lag_72_2,0.10775217000897935,0.0015343328,0.05464325138153489
119,target_lag_336_18,0.10775217000897935,0.00077191077,0.05426204038802515
120,temp_last_day_8,0.10745285842562108,0.0003474756,0.053900167017099515
121,target_lag_72_4,0.10715354684226279,0.0008056602,0.05397960352570782
122,target_lag_336_16,0.10715354684226279,0.0005590128,0.05385627982764537
123,temp_last_day_18,0.10655492367554624,0.0003616473,0.053458285493455736
124,target_lag_24_4,0.10655492367554624,0.0041535436,0.0553542336465613
125,Td_8,0.10595630050882969,0.0003298801,0.0531430903054508
126,target_lag_24_13,0.10565698892547142,0.0005390556,0.053098022271731625
127,temp_pred_6,0.10565698892547142,0.0013051959,0.05348109238882711
128,U_8,0.10535767734211314,0.00015860205,0.052758139696891436
129,temp_last_day_19,0.10475905417539659,0.0004822716,0.05262066288772279
130,target_lag_336_19,0.10416043100868004,0.0014149722,0.05278770162485832
131,U_6,0.10416043100868004,0.00014912435,0.052154777677152896
132,target_lag_72_3,0.10356180784196349,0.00060250156,0.05208215470144869
133,target_lag_72_10,0.1032624962586052,0.0005451429,0.05190381958778385
134,target_lag_72_14,0.10296318467524693,0.00043758482,0.05170038474865653
135,target_lag_72_18,0.10236456150853038,0.006004756,0.05418465867970586
136,target_lag_72_9,0.1020652499251721,0.00050792756,0.05128658874154564
137,rain_probability_2,0.10146662675845555,0.0012361847,0.051351405745722015
138,U_18,0.100868003591739,0.00016815287,0.05051807822913741
139,target_lag_72_17,0.10056869200838073,0.000434063,0.05050137750251356
140,Td_9,0.10026938042502245,0.00044775996,0.050358570191386856
141,target_lag_24_7,0.09937144567494761,0.00063684135,0.05000414351003019
142,temp_last_day_17,0.09937144567494761,0.000797427,0.05008443635075128
143,target_lag_72_16,0.09877282250823106,0.00045228875,0.04961255562741602
144,month,0.09817419934151451,0.0028037769,0.050488988110189044
145,Td_7,0.09727626459143969,0.0002707299,0.048773497252524396
146,target_lag_24_6,0.09697695300808142,0.008003876,0.052490414310647
147,temp_last_day_13,0.09667764142472314,0.0006818006,0.048679721008939754
148,P_2,0.09637832984136487,0.00040159436,0.04838996209865005
149,Td_5,0.09637832984136487,0.0001655029,0.04827191637296497
150,Td_14,0.09548039509129003,0.00037306495,0.047926730019535124
151,target_lag_24_8,0.09548039509129003,0.0024998623,0.048990128716250136
152,target_lag_72_5,0.09428314875785693,0.0011171404,0.047700144580902826
153,rain_probability_8,0.09398383717449865,0.00080251927,0.047393178220030474
154,last_evening_avg_temp_22_23,0.09398383717449865,0.001368214,0.04767602560076173
155,target_5,0.0933852140077821,0.0009805547,0.04718288436920676
156,target_lag_24_17,0.0933852140077821,0.0013722511,0.04737873254266861
157,temp_pred_5,0.09278659084106555,0.0018535868,0.04732008879884492
158,rain_probability_9,0.09188865609099073,0.00090888015,0.046398768118139866
159,target_1,0.09158934450763244,0.0010731921,0.046331268307096156
160,U_17,0.09129003292427416,0.00023517605,0.04576260448643248
161,last_evening_avg_temp_19_23,0.09099072134091589,0.00079344667,0.04589208400560112
162,U_7,0.09069140975755761,0.00024033715,0.045465873452409315
163,last_evening_avg_temp_22_8,0.09039209817419934,0.0007109546,0.045551526386408074
164,target_lag_336_17,0.08979347500748279,0.00037813844,0.045085806725701776
165,target_lag_24_19,0.08979347500748279,0.0032029191,0.04649819707862706
166,rain_probability_22,0.08919485184076624,0.0004749483,0.044834900065634446
167,P_1,0.08889554025740797,0.00041787792,0.044656709088689954
168,temp_pred_19,0.08859622867404969,0.00391079,0.04625350943580047
169,temp_pred_12,0.08859622867404969,0.0021700046,0.04538311666156874
170,rain_probability_15,0.08829691709069142,0.00031100612,0.04430396160659649
171,U_20,0.08769829392397485,0.00024886514,0.04397357953054219
172,target_lag_24_20,0.08739898234061658,0.0012452,0.04432209119627133
173,target_lag_24_9,0.0870996707572583,0.003652816,0.04537624334855843
174,rain_probability_7,0.08650104759054175,0.0011659375,0.04383349255322437
175,temp_pred_13,0.08500448967375038,0.0064249355,0.04571471260417341
176,last_evening_avg_temp_22_13,0.0847051780903921,0.0003398416,0.04252250983846488
177,rain_probability_21,0.08380724334031726,0.00048803494,0.042147639142300054
178,rain_probability_11,0.08380724334031726,0.00039231675,0.04209978004679741
179,temp_pred_18,0.08350793175695899,0.0021564313,0.04283218153900684
180,temp_pred_9,0.08320862017360071,0.00089222554,0.04205042285505926
181,day_9,0.08320862017360071,0.00064492365,0.04192677191352715
182,P_3,0.08320862017360071,0.00048363485,0.041846127513086064
183,last_evening_avg_target_22_23,0.08290930859024244,0.0020690355,0.042489172067616966
184,temp_pred_7,0.08260999700688416,0.0014552901,0.04203264356674922
185,temp_pred_16,0.08231068542352589,0.0016461471,0.041978416266547004
186,target_lag_24_14,0.08201137384016761,0.00034946075,0.041180417295958595
187,P_8,0.08201137384016761,0.00032274897,0.04116706140264285
188,Td_2,0.08171206225680934,0.0007163326,0.04121419741792046
189,rain_probability_10,0.08141275067345106,0.0003961303,0.04090444047992051
190,last_evening_avg_temp_22_9,0.08111343909009279,0.000960346,0.04103689255519264
191,temp_pred_23,0.08081412750673451,0.00039223698,0.040603182243206394
192,P_18,0.08021550434001797,0.0003142655,0.040264884914798106
193,rain_probability_14,0.07871894642322658,0.0003346778,0.03952681211677081
194,P_12,0.07871894642322658,0.00045007232,0.03958450936925764
195,rain_probability_19,0.07812032325651003,0.00042120053,0.039270761893091116
196,last_day_avg_target_23,0.07752170008979348,0.0013449071,0.03943330359365596
197,day_of_week_6,0.0772223885064352,0.032497637,0.05486001274014654
