data,curs
30.04.2020,80
29.04.2020,81
28.04.2020,81
25.04.2020,80
24.04.2020,81
23.04.2020,84
22.04.2020,83
21.04.2020,81
18.04.2020,80
17.04.2020,81
16.04.2020,81
15.04.2020,80
14.04.2020,81
11.04.2020,81
10.04.2020,81
09.04.2020,82
08.04.2020,82
07.04.2020,83
28.03.2020,86
27.03.2020,86
26.03.2020,84
25.03.2020,85
24.03.2020,87
21.03.2020,84
20.03.2020,87
19.03.2020,85
18.03.2020,82
17.03.2020,83
14.03.2020,82
13.03.2020,84
12.03.2020,81
11.03.2020,82
07.03.2020,76
06.03.2020,74
05.03.2020,74
04.03.2020,74
03.03.2020,73
29.02.2020,74
28.02.2020,72
27.02.2020,71
26.02.2020,70
22.02.2020,69
21.02.2020,69
20.02.2020,69
19.02.2020,69
18.02.2020,69
15.02.2020,69
14.02.2020,69
13.02.2020,69
12.02.2020,70
11.02.2020,70
08.02.2020,70
07.02.2020,69
06.02.2020,70
05.02.2020,70
04.02.2020,71
01.02.2020,70
31.01.2020,69
30.01.2020,69
29.01.2020,69
28.01.2020,69
25.01.2020,68
24.01.2020,69
23.01.2020,69
22.01.2020,69
21.01.2020,68
18.01.2020,69
17.01.2020,69
16.01.2020,68
15.01.2020,68
14.01.2020,68
11.01.2020,68
10.01.2020,68
01.01.2020,69
31.12.2019,69
28.12.2019,69
27.12.2019,69
26.12.2019,68
25.12.2019,69
24.12.2019,69
21.12.2019,69
20.12.2019,70
19.12.2019,70
18.12.2019,70
17.12.2019,70
14.12.2019,70
13.12.2019,70
12.12.2019,70
11.12.2019,70
10.12.2019,71
07.12.2019,71
06.12.2019,71
05.12.2019,71
04.12.2019,71
03.12.2019,71
30.11.2019,71
29.11.2019,71
28.11.2019,70
27.11.2019,71
26.11.2019,70
23.11.2019,71
22.11.2019,71
21.11.2019,71
20.11.2019,71
19.11.2019,71
16.11.2019,70
15.11.2019,71
14.11.2019,71
13.11.2019,70
12.11.2019,70
09.11.2019,70
08.11.2019,71
07.11.2019,70
06.11.2019,70
02.11.2019,71
01.11.2019,71
31.10.2019,71
30.10.2019,71
29.10.2019,71
26.10.2019,71
25.10.2019,71
24.10.2019,71
23.10.2019,71
22.10.2019,71
19.10.2019,71
18.10.2019,71
17.10.2019,71
16.10.2019,71
15.10.2019,71
12.10.2019,71
11.10.2019,71
10.10.2019,71
09.10.2019,71
08.10.2019,71
05.10.2019,71
04.10.2019,71
03.10.2019,71
02.10.2019,71
01.10.2019,71
28.09.2019,70
27.09.2019,70
26.09.2019,71
25.09.2019,70
24.09.2019,70
21.09.2019,71
20.09.2019,71
19.09.2019,71
18.09.2019,71
17.09.2019,71
14.09.2019,72
13.09.2019,72
12.09.2019,72
11.09.2019,72
10.09.2019,72
07.09.2019,73
06.09.2019,73
05.09.2019,73
04.09.2019,73
03.09.2019,73
31.08.2019,73
