TRADEDATE,MOEX,RTSI
597,19.05.2021,3635,1553
598,20.05.2021,3636,1559
599,21.05.2021,3660,1570
600,24.05.2021,3663,1571
601,25.05.2021,3687,1581
602,26.05.2021,3711,1591
603,27.05.2021,3739,1604
604,28.05.2021,3731,1604
605,31.05.2021,3722,1598
606,01.06.2021,3765,1614
607,02.06.2021,3818,1644
608,03.06.2021,3805,1637
609,04.06.2021,3807,1647
610,07.06.2021,3822,1653
611,08.06.2021,3807,1656
612,09.06.2021,3843,1675
613,10.06.2021,3828,1677
614,11.06.2021,3842,1679
615,14.06.2021,3860,1687
616,15.06.2021,3822,1665
617,16.06.2021,3830,1679
618,17.06.2021,3819,1664
619,18.06.2021,3803,1647
620,21.06.2021,3813,1642
621,22.06.2021,3822,1646
622,23.06.2021,3837,1666
623,24.06.2021,3823,1665
624,25.06.2021,3832,1672
625,28.06.2021,3826,1670
626,29.06.2021,3791,1640
627,30.06.2021,3842,1654
628,01.07.2021,3858,1657
629,02.07.2021,3865,1660
630,05.07.2021,3883,1665
631,06.07.2021,3884,1645
632,07.07.2021,3895,1641
633,08.07.2021,3861,1628
634,09.07.2021,3855,1635
635,12.07.2021,3876,1640
636,13.07.2021,3877,1649
637,14.07.2021,3833,1626
638,15.07.2021,3800,1612
639,16.07.2021,3770,1603
640,19.07.2021,3693,1559
641,20.07.2021,3704,1567
642,21.07.2021,3723,1586
643,22.07.2021,3754,1600
644,23.07.2021,3735,1596
645,26.07.2021,3750,1603
646,27.07.2021,3733,1595
647,28.07.2021,3782,1616
648,29.07.2021,3804,1639
649,30.07.2021,3772,1626
650,02.08.2021,3788,1636
651,03.08.2021,3794,1638
652,04.08.2021,3811,1640
653,05.08.2021,3834,1653
654,06.08.2021,3805,1633
655,09.08.2021,3835,1641
656,10.08.2021,3862,1646
657,11.08.2021,3877,1656
658,12.08.2021,3889,1666
659,13.08.2021,3873,1666
660,16.08.2021,3895,1674
661,17.08.2021,3943,1690
662,18.08.2021,3925,1675
663,19.08.2021,3854,1636
664,20.08.2021,3833,1624
665,23.08.2021,3883,1650
666,24.08.2021,3889,1661
667,25.08.2021,3887,1654
668,26.08.2021,3852,1635
669,27.08.2021,3887,1664
670,30.08.2021,3928,1685
671,31.08.2021,3919,1684
672,01.09.2021,3971,1715
673,02.09.2021,3991,1727
674,03.09.2021,4002,1734
675,06.09.2021,4028,1737
676,07.09.2021,4010,1724
677,08.09.2021,4017,1727
678,09.09.2021,3994,1726
679,10.09.2021,4003,1725
680,13.09.2021,4041,1751
681,14.09.2021,4056,1755
682,15.09.2021,4066,1767
683,16.09.2021,4045,1756
684,17.09.2021,4035,1745
685,20.09.2021,3970,1701
686,21.09.2021,3970,1711
687,22.09.2021,4031,1747
688,23.09.2021,4052,1753
689,24.09.2021,4038,1748
690,27.09.2021,4081,1774
691,28.09.2021,4065,1756
692,29.09.2021,4058,1757
693,30.09.2021,4104,1778
694,01.10.2021,4087,1772
695,04.10.2021,4113,1786
696,05.10.2021,4224,1840
697,06.10.2021,4172,1815
698,07.10.2021,4228,1854
699,08.10.2021,4238,1861
700,11.10.2021,4280,1882
701,12.10.2021,4264,1870
702,13.10.2021,4244,1855
703,14.10.2021,4259,1876
704,15.10.2021,4262,1892
705,18.10.2021,4248,1877
706,19.10.2021,4276,1900
707,20.10.2021,4288,1905
708,21.10.2021,4219,1868
709,22.10.2021,4197,1878
710,25.10.2021,4255,1920
711,26.10.2021,4236,1916
712,27.10.2021,4230,1891
713,28.10.2021,4190,1880
714,29.10.2021,4150,1844
715,01.11.2021,4221,1867
716,02.11.2021,4208,1851
717,03.11.2021,4185,1827
718,05.11.2021,4175,1848
719,08.11.2021,4218,1865
720,09.11.2021,4187,1864
721,10.11.2021,4172,1854
722,11.11.2021,4189,1854
723,12.11.2021,4122,1784
724,15.11.2021,4135,1791
725,16.11.2021,4120,1768
726,17.11.2021,4149,1803
727,18.11.2021,4094,1762
728,19.11.2021,4016,1724
729,22.11.2021,3873,1628
730,23.11.2021,3960,1662
731,24.11.2021,3951,1661
732,25.11.2021,3948,1666
733,26.11.2021,3811,1589
734,29.11.2021,3880,1639
735,30.11.2021,3891,1646
736,01.12.2021,3959,1687
737,02.12.2021,3948,1690
738,03.12.2021,3913,1668
739,06.12.2021,3810,1622
740,07.12.2021,3873,1647
741,08.12.2021,3774,1613
742,09.12.2021,3813,1633
743,10.12.2021,3760,1612
744,13.12.2021,3618,1548
745,14.12.2021,3619,1549
746,15.12.2021,3622,1541
747,16.12.2021,3750,1605
748,17.12.2021,3723,1583
749,20.12.2021,3669,1558
750,21.12.2021,3693,1574
751,22.12.2021,3747,1602
752,23.12.2021,3705,1588
753,24.12.2021,3703,1584
754,27.12.2021,3741,1603
755,28.12.2021,3778,1612
756,29.12.2021,3741,1590
757,30.12.2021,3787,1596
758,03.01.2022,3852,1623
759,04.01.2022,3873,1623
760,05.01.2022,3815,1586
761,06.01.2022,3753,1545
762,07.01.2022,3772,1545
763,10.01.2022,3739,1565
764,11.01.2022,3785,1595
765,12.01.2022,3830,1613
766,13.01.2022,3675,1517
767,14.01.2022,3597,1486
768,17.01.2022,3560,1475
769,18.01.2022,3329,1367
770,19.01.2022,3437,1415
771,20.01.2022,3516,1451
772,21.01.2022,3439,1402
773,24.01.2022,3235,1288
774,25.01.2022,3259,1297
775,26.01.2022,3358,1324
776,27.01.2022,3456,1400
777,28.01.2022,3489,1407
778,31.01.2022,3530,1435
779,01.02.2022,3548,1458
780,02.02.2022,3544,1464
781,03.02.2022,3471,1432
782,04.02.2022,3471,1436
783,07.02.2022,3471,1445
784,08.02.2022,3552,1489
785,09.02.2022,3639,1535
786,10.02.2022,3656,1547
787,11.02.2022,3547,1470
788,14.02.2022,3481,1426
789,15.02.2022,3600,1498
790,16.02.2022,3646,1525
791,17.02.2022,3511,1450
792,18.02.2022,3393,1391
793,21.02.2022,3037,1208
794,22.02.2022,3085,1227
795,24.02.2022,2058,743
796,25.02.2022,2470,937
797,24.03.2022,2579,853
798,25.03.2022,2484,830
799,28.03.2022,2431,823
800,29.03.2022,2408,882
801,30.03.2022,2513,949
802,31.03.2022,2704,1021
803,01.04.2022,2760,1034
804,04.04.2022,2788,1052
805,05.04.2022,2663,1005
806,06.04.2022,2611,1035
807,07.04.2022,2635,1092
808,08.04.2022,2593,1080
809,11.04.2022,2557,1017
810,12.04.2022,2541,1005
811,13.04.2022,2528,997
812,14.04.2022,2405,941
813,15.04.2022,2425,955
814,18.04.2022,2343,926
815,19.04.2022,2317,932
816,20.04.2022,2331,960
817,21.04.2022,2271,961
818,22.04.2022,2232,928
819,25.04.2022,2186,941
820,26.04.2022,2318,1000
821,27.04.2022,2424,1049
822,28.04.2022,2384,1042
823,29.04.2022,2445,1082
824,04.05.2022,2373,1114
825,05.05.2022,2405,1120
826,06.05.2022,2393,1088
827,11.05.2022,2387,1124
828,12.05.2022,2298,1140
829,13.05.2022,2308,1132
830,16.05.2022,2365,1174
831,17.05.2022,2424,1201
832,18.05.2022,2445,1213
833,19.05.2022,2437,1246
834,20.05.2022,2373,1240
835,23.05.2022,2302,1254
836,24.05.2022,2294,1274
837,25.05.2022,2340,1239
838,26.05.2022,2413,1175
839,27.05.2022,2408,1134
840,30.05.2022,2400,1216
841,31.05.2022,2356,1208
842,01.06.2022,2375,1222
843,02.06.2022,2340,1196
844,03.06.2022,2308,1200
845,06.06.2022,2282,1179
846,07.06.2022,2292,1180
847,08.06.2022,2319,1231
848,09.06.2022,2294,1213
849,10.06.2022,2286,1269
850,14.06.2022,2290,1273
851,15.06.2022,2319,1280
852,16.06.2022,2370,1317
853,17.06.2022,2354,1315
854,20.06.2022,2404,1358
855,21.06.2022,2359,1380
856,22.06.2022,2374,1403
857,23.06.2022,2405,1416
858,24.06.2022,2392,1415
859,27.06.2022,2417,1428
860,28.06.2022,2409,1466
861,29.06.2022,2379,1413
862,30.06.2022,2205,1345
863,01.07.2022,2207,1277
864,04.07.2022,2205,1249
865,05.07.2022,2227,1147
866,06.07.2022,2222,1102
867,07.07.2022,2227,1132
868,08.07.2022,2223,1145
